Geneid	siControl_A	siControl_B	siControl_C	siHOXA3_A	siHOXA3_B	siHOXA3_C
ENSG00000223972	0	1	0	0	1	0
ENSG00000227232	127	74	72	37	136	70
ENSG00000278267	2	0	0	2	2	4
ENSG00000243485	0	0	1	0	0	1
ENSG00000284332	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	0	0	0	2	1	1
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	10	14	34	12	17	10
ENSG00000268903	107	112	76	97	155	96
ENSG00000269981	83	89	81	106	115	108
ENSG00000239906	1	10	7	0	0	4
ENSG00000241860	5	8	40	11	4	5
ENSG00000222623	2	1	0	0	1	2
ENSG00000241599	1	0	0	0	0	0
ENSG00000279928	3	1	0	4	0	6
ENSG00000279457	170	194	167	151	219	149
ENSG00000273874	0	0	0	0	0	0
ENSG00000228463	14	9	11	8	4	13
ENSG00000236679	11	3	12	4	6	7
ENSG00000236601	0	0	0	0	0	0
ENSG00000237094	180	169	142	180	60	223
ENSG00000269732	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	1	2
ENSG00000250575	8	6	5	5	6	5
ENSG00000278757	0	0	0	0	0	0
ENSG00000230021	44	42	29	33	12	37
ENSG00000235146	0	0	0	0	0	0
ENSG00000225972	1	2	4	2	7	0
ENSG00000225630	2973	2511	2513	2459	2050	2356
ENSG00000237973	340	358	298	435	317	260
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	1	0	0	1	2	1
ENSG00000240409	0	0	0	0	0	0
ENSG00000248527	3254	3026	3336	4768	3362	2454
ENSG00000198744	2	3	1	0	3	2
ENSG00000268663	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0
ENSG00000229376	1	4	9	5	0	2
ENSG00000228327	288	188	141	217	91	229
ENSG00000223181	0	0	0	0	0	5
ENSG00000229905	0	0	0	0	0	1
ENSG00000237491	45	55	86	60	46	84
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	8	9	6	12	6	12
ENSG00000177757	10	1	9	8	6	12
ENSG00000228794	625	575	647	526	439	590
ENSG00000225880	3	4	12	16	16	12
ENSG00000230368	0	0	6	0	0	3
ENSG00000234711	0	0	0	0	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000272438	5	4	6	5	3	4
ENSG00000230699	17	7	11	7	15	9
ENSG00000241180	0	0	0	1	0	0
ENSG00000223764	91	78	85	66	72	77
ENSG00000187634	132	122	102	106	90	98
ENSG00000188976	1215	1193	1136	1356	1313	1400
ENSG00000187961	268	274	247	298	276	288
ENSG00000187583	24	18	21	25	15	27
ENSG00000187642	11	9	3	12	17	6
ENSG00000272512	2	8	0	0	0	7
ENSG00000188290	98	79	87	133	230	116
ENSG00000187608	99	124	121	101	239	129
ENSG00000231702	2	0	2	0	0	1
ENSG00000224969	10	7	10	4	9	14
ENSG00000188157	9968	10102	8329	8746	7791	9197
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	51	56	36	41	73	55
ENSG00000273443	1	6	1	7	9	7
ENSG00000237330	14	16	3	10	10	10
ENSG00000131591	379	339	329	352	379	395
ENSG00000285812	9	4	16	22	8	22
ENSG00000223823	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0
ENSG00000186891	0	0	0	0	1	0
ENSG00000186827	0	0	0	0	0	0
ENSG00000078808	1332	1339	1270	1405	1662	1425
ENSG00000176022	498	557	442	483	694	527
ENSG00000184163	35	9	20	21	29	21
ENSG00000260179	5	2	3	8	11	5
ENSG00000160087	705	661	638	742	923	650
ENSG00000230415	5	7	1	5	4	7
ENSG00000162572	49	35	42	36	40	37
ENSG00000131584	1140	1130	952	1035	1135	1084
ENSG00000278073	0	0	0	0	0	0
ENSG00000169972	257	251	200	200	315	290
ENSG00000127054	1261	1261	1241	1169	1315	1285
ENSG00000283712	0	0	0	0	0	0
ENSG00000240731	37	25	42	43	53	65
ENSG00000224051	298	276	298	262	266	285
ENSG00000169962	21	11	6	20	18	26
ENSG00000107404	878	760	596	771	853	684
ENSG00000284372	0	0	0	0	0	0
ENSG00000162576	600	637	481	581	619	575
ENSG00000175756	723	622	558	798	1143	660
ENSG00000223663	0	0	1	1	2	0
ENSG00000221978	2764	3038	3070	2631	2574	2574
ENSG00000224870	181	156	196	178	195	178
ENSG00000242485	668	560	646	633	879	531
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	39	52	52	36	57	27
ENSG00000235098	3	2	4	3	8	7
ENSG00000225905	3	0	0	2	1	0
ENSG00000205116	7	8	0	6	3	9
ENSG00000225285	12	12	13	9	13	3
ENSG00000179403	1196	1165	957	1279	1348	1189
ENSG00000215915	51	45	53	58	52	53
ENSG00000160072	735	662	714	719	840	632
ENSG00000284740	2	2	2	4	0	1
ENSG00000197785	601	523	577	599	778	653
ENSG00000205090	35	38	19	21	54	30
ENSG00000160075	1746	1888	1777	1614	2328	1754
ENSG00000215014	14	8	9	12	11	7
ENSG00000274481	0	0	0	0	0	0
ENSG00000228594	83	80	91	101	138	101
ENSG00000272106	122	112	70	83	97	102
ENSG00000197530	1256	1182	1000	1143	1564	1132
ENSG00000189409	43	17	30	40	70	41
ENSG00000248333	652	600	599	644	668	639
ENSG00000272004	1	3	1	0	0	0
ENSG00000189339	1820	1955	1934	1697	1602	1932
ENSG00000269737	104	80	78	73	57	85
ENSG00000215914	8	24	17	10	12	3
ENSG00000008128	21	27	18	23	18	27
ENSG00000268575	84	79	135	86	48	85
ENSG00000227775	15	11	6	17	7	13
ENSG00000215790	370	404	381	437	426	439
ENSG00000008130	1128	1307	1339	1072	1186	1055
ENSG00000078369	5775	5646	5747	5728	5993	5337
ENSG00000231050	8	0	0	2	5	4
ENSG00000169885	12	7	14	12	7	11
ENSG00000178821	25	8	16	7	28	15
ENSG00000142609	0	0	0	3	0	0
ENSG00000233542	0	0	0	0	0	0
ENSG00000187730	1	0	0	0	0	1
ENSG00000226969	0	2	0	0	0	1
ENSG00000067606	452	392	375	410	442	426
ENSG00000271806	14	5	16	2	11	1
ENSG00000182873	66	79	57	61	59	65
ENSG00000162585	562	475	462	541	663	518
ENSG00000234396	0	1	0	0	0	0
ENSG00000157933	1935	1898	1852	2035	1625	2111
ENSG00000116151	105	122	139	124	86	155
ENSG00000272161	0	2	0	1	0	4
ENSG00000269896	61	42	61	59	44	55
ENSG00000272420	5	3	5	10	8	3
ENSG00000157916	1146	1131	1341	1072	1277	1093
ENSG00000157911	288	280	277	239	311	305
ENSG00000149527	18	2	7	24	5	16
ENSG00000224387	1	0	0	0	1	0
ENSG00000229393	1	1	0	0	5	2
ENSG00000157881	391	423	420	379	401	360
ENSG00000197921	0	0	0	0	0	0
ENSG00000272449	1	2	0	7	6	2
ENSG00000238164	0	0	0	1	0	0
ENSG00000157873	0	0	0	0	0	0
ENSG00000225931	0	0	0	0	0	0
ENSG00000228037	1	0	0	1	1	2
ENSG00000157870	201	262	182	193	222	201
ENSG00000142606	0	0	0	0	0	0
ENSG00000237058	0	0	0	0	0	0
ENSG00000215912	15	14	15	20	8	26
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0
ENSG00000142611	1	1	2	6	0	1
ENSG00000283572	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	0
ENSG00000130762	578	692	646	515	636	561
ENSG00000272088	6	3	6	3	17	6
ENSG00000162591	1688	1642	1420	1378	1405	1632
ENSG00000207776	0	0	0	0	0	0
ENSG00000238260	2	4	6	2	13	6
ENSG00000158109	511	455	443	443	528	427
ENSG00000116213	366	384	475	370	423	406
ENSG00000078900	29	43	45	75	38	48
ENSG00000227589	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0
ENSG00000227372	839	961	895	839	894	831
ENSG00000276189	0	0	0	0	0	0
ENSG00000162592	3	3	6	9	3	2
ENSG00000235169	10	10	1	9	13	13
ENSG00000130764	1021	1274	1141	1133	1614	1279
ENSG00000266075	0	1	5	1	0	1
ENSG00000272153	14	27	15	11	12	22
ENSG00000116198	643	720	698	691	658	673
ENSG00000169598	138	161	166	153	108	104
ENSG00000198912	539	571	562	521	527	478
ENSG00000236423	9	5	14	3	7	5
ENSG00000233304	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000235054	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0
ENSG00000196581	33	26	31	28	30	24
ENSG00000284739	0	0	0	0	0	0
ENSG00000284674	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000236948	0	3	3	4	3	0
ENSG00000264341	0	0	0	0	0	0
ENSG00000264101	0	0	0	2	0	0
ENSG00000131697	360	360	335	252	249	300
ENSG00000069424	84	40	51	74	39	62
ENSG00000116254	22	11	10	12	13	5
ENSG00000285629	0	0	0	0	0	0
ENSG00000116251	1665	1695	1699	1573	2351	1581
ENSG00000226944	4	0	0	0	3	1
ENSG00000158286	553	481	471	483	377	454
ENSG00000116237	2752	2912	3108	2689	2768	2615
ENSG00000225077	19	14	29	22	27	28
ENSG00000173673	0	0	0	0	0	0
ENSG00000158292	53	52	36	33	34	41
ENSG00000097021	653	657	658	703	909	661
ENSG00000271746	0	0	0	0	0	0
ENSG00000069812	32	39	26	49	57	76
ENSG00000187017	106	96	52	99	88	79
ENSG00000265392	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0
ENSG00000215788	234	276	269	208	340	219
ENSG00000171680	581	492	478	592	511	670
ENSG00000162408	795	709	738	700	788	707
ENSG00000253022	0	0	0	1	0	2
ENSG00000229519	10	4	6	5	10	22
ENSG00000173662	1	0	0	1	0	1
ENSG00000204859	276	321	335	309	313	267
ENSG00000162413	568	631	581	431	428	509
ENSG00000116273	834	906	890	867	923	796
ENSG00000041988	178	185	135	165	221	150
ENSG00000007923	714	651	524	652	499	635
ENSG00000228750	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0
ENSG00000237436	10	7	9	5	18	5
ENSG00000171735	364	388	470	428	583	375
ENSG00000227950	1	0	0	2	1	2
ENSG00000237365	1	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0
ENSG00000237402	0	1	0	0	0	0
ENSG00000237728	0	0	0	5	0	0
ENSG00000225126	0	0	0	0	0	0
ENSG00000270171	2	0	0	3	4	0
ENSG00000270035	0	0	2	0	3	1
ENSG00000269978	2	2	2	8	1	4
ENSG00000049245	1741	1902	2027	1631	2194	1602
ENSG00000269925	10	22	47	20	12	14
ENSG00000049246	43	53	25	62	49	66
ENSG00000236266	1	0	0	1	0	5
ENSG00000049247	0	0	0	0	0	0
ENSG00000049249	0	1	2	1	0	1
ENSG00000270330	0	0	0	0	0	0
ENSG00000116288	1201	1206	1367	1423	1687	1143
ENSG00000200344	0	6	4	0	1	3
ENSG00000284747	20	30	30	16	14	26
ENSG00000284716	3	0	1	1	2	1
ENSG00000116285	5282	5829	5973	5359	5482	4962
ENSG00000238290	6	1	6	0	3	1
ENSG00000232848	0	0	0	0	0	0
ENSG00000229305	0	0	0	0	0	0
ENSG00000227634	4	0	0	0	5	1
ENSG00000200975	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0
ENSG00000162426	9	9	6	12	6	3
ENSG00000252254	0	0	0	0	0	0
ENSG00000142599	2602	2368	2258	2725	1614	2641
ENSG00000232912	5	0	7	0	2	8
ENSG00000221083	0	0	0	0	0	0
ENSG00000270282	0	0	0	0	1	0
ENSG00000234619	0	0	1	0	0	0
ENSG00000224315	2	2	3	3	0	6
ENSG00000222511	0	1	1	2	0	1
ENSG00000226545	2	0	3	5	4	3
ENSG00000228423	5	0	5	0	1	1
ENSG00000229716	0	0	0	0	0	0
ENSG00000074800	13096	12813	13556	12593	15130	11794
ENSG00000274258	0	0	0	3	0	0
ENSG00000230679	1	6	0	2	0	2
ENSG00000201725	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	0
ENSG00000232208	0	0	1	0	0	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0
ENSG00000142583	0	0	0	0	0	2
ENSG00000252404	0	0	0	0	0	0
ENSG00000180758	158	171	139	173	194	152
ENSG00000228526	380	286	240	359	301	305
ENSG00000284357	0	0	0	0	0	0
ENSG00000234546	31	45	53	19	38	27
ENSG00000049239	1357	1362	1413	1541	1155	1384
ENSG00000171621	224	230	221	205	198	204
